Country,FechasF,AD,Years,Months,Days
 Afghanistan,1919-08-19,2022-06-01,102,1233,37542
 Albania,1912-11-28,2022-06-01,109,1314,39997
 Algeria,1962-07-05,2022-06-01,59,718,21881
 Angola,1975-11-11,2022-06-01,46,558,17004
 Antigua and Barbuda,1981-11-01,2022-06-01,40,487,14822
 Argentina,1816-07-09,2022-06-01,205,2470,75202
 Armenia,1918-05-28,2022-06-01,104,1248,37990
 Armenia,1991-09-21,2022-06-01,30,368,11211
 Australia,1788-01-26,2022-06-01,234,2812,85593
 Austria,1955-10-26,2022-06-01,66,799,24325
 Azerbaijan,1918-05-28,2022-06-01,104,1248,37990
 Azerbaijan,1991-10-18,2022-06-01,30,367,11184
" Bahamas, The",1973-07-10,2022-06-01,48,586,17858
 Bahrain,1971-12-16,2022-06-01,50,605,18430
 Bangladesh,1971-03-26,2022-06-01,51,614,18695
 Bangladesh,1971-12-16,2022-06-01,50,605,18430
 Barbados,1966-11-30,2022-06-01,55,666,20272
 Belarus,1991-07-03,2022-06-01,30,370,11291
 Belgium,1831-07-21,2022-06-01,190,2290,69712
 Belize,1981-09-21,2022-06-01,40,488,14863
 Benin,1960-08-01,2022-06-01,61,742,22584
 Bhutan,1907-12-17,2022-06-01,114,1373,41805
 Bolivia,1825-08-06,2022-06-01,196,2361,71887
 Bosnia and Herzegovina,1992-03-01,2022-06-01,30,363,11049
 Botswana,1966-09-30,2022-06-01,55,668,20333
 Brazil,1822-09-07,2022-06-01,199,2396,72951
 Brunei,1984-02-23,2022-06-01,38,459,13978
 Bulgaria,1878-03-03,2022-06-01,144,1730,52685
 Bulgaria,1908-09-22,2022-06-01,113,1364,41525
 Burkina Faso,1958-12-11,2022-06-01,63,761,23183
 Burkina Faso,1960-08-05,2022-06-01,61,741,22580
 Burundi,1962-07-01,2022-06-01,59,719,21885
 Cambodia,1953-11-09,2022-06-01,68,822,25041
 Cameroon,1960-05-20,2022-06-01,62,744,22657
 Canada,1867-07-01,2022-06-01,154,1859,56583
 Cape Verde,1975-07-05,2022-06-01,46,562,17133
 Central African Republic,1958-12-01,2022-06-01,63,762,23193
 Central African Republic,1960-08-13,2022-06-01,61,741,22572
 Chad,1958-11-28,2022-06-01,63,762,23196
 Chad,1960-08-11,2022-06-01,61,741,22574
 Chile,1810-09-18,2022-06-01,211,2540,77323
" China, People's Republic of",1949-10-01,2022-06-01,72,872,26541
" China, Republic of",1911-10-10,2022-06-01,110,1327,40412
 Colombia,1810-07-20,2022-06-01,211,2542,77383
 Comoros,1975-07-06,2022-06-01,46,562,17132
" Congo, Democratic Republic of the",1960-06-30,2022-06-01,61,743,22616
" Congo, Republic of the",1958-11-28,2022-06-01,63,762,23196
" Congo, Republic of the",1960-08-15,2022-06-01,61,741,22570
 Costa Rica,1821-09-15,2022-06-01,200,2408,73308
 Croatia,1990-05-30,2022-06-01,32,384,11690
 Cuba,1868-10-10,2022-06-01,153,1843,56116
 Cyprus,1955-04-01,2022-06-01,67,806,24533
 Cyprus,1960-10-01,2022-06-01,61,740,22523
 Czech Republic,1918-10-28,2022-06-01,103,1243,37837
 Czech Republic,1993-01-01,2022-06-01,29,353,10743
 Denmark,1849-06-05,2022-06-01,172,2075,63183
 Djibouti,1977-06-27,2022-06-01,44,539,16410
 Dominica,1978-11-03,2022-06-01,43,522,15916
 East Timor,2002-05-20,2022-06-01,20,240,7317
